codigo_acao_orcamentaria	nome_acao_orcamentaria	procv_funcao_no_access_da_camara
00LN	CONTRIBUICAO A ASSOCIACAO INTERNACIONAL DE PARQUES TECNOLOGICOS - IASP (MEC)	Encargos Especiais
00LO	CONTRIBUICAO A ASSOCIACAO AMERICANA DE AUTORIDADES PORTUARIAS - AAPA (PR)	Encargos Especiais
00LP	CONTRIBUICAO AO CONSELHO MUNDIAL DA AGUA - WWC (MME)	Encargos Especiais
00LQ	CONTRIBUICAO VOLUNTARIA AO FUNDO INTERNACIONAL PARA A DIVERSIDADE CULTURAL - FIDC (MINC)	Encargos Especiais
00LR	CONTRIBUICAO A FEDERACAO INTERNACIONAL DE BIBLIOTECAS, ASSOCIACOES E INSTITUICOES - IFLA (MEC)	Encargos Especiais
00LS	CONTRIBUICAO VOLUNTARIA A CONVENCAO-QUADRO SOBRE CONTROLE DO USO DO TABACO - CQCT FCTC (MS)	Encargos Especiais
00LT	CONTRIBUICAO A ASSOCIACAO DE UNIVERSIDADES DA AMERICA LATINA E CARIBE PARA A INTEGRACAO - AUALCPI (MEC)	Encargos Especiais
00LV	FORMACAO, CAPACITACAO E EXPANSAO DE PESSOAL QUALIFICADO EM CIENCIA, TECNOLOGIA E INOVACAO	Ciência e Tecnologia
00LW	CONTRIBUICAO A ORGANISMOS NACIONAIS	Administração
00LX	TRANSFERENCIA DOS RECURSOS DA COBRANCA AS AGENCIAS DE AGUAS (LEIS N. 9.433/1997 E N. 10.881/2004)	Gestão Ambiental
00M1	BENEFICIOS ASSISTENCIAIS DECORRENTES DO AUXILIO-FUNERAL E NATALIDADE	Legislativa
00M2	INTEGRALIZACAO DE COTAS EM FUNDOS DE GARANTIA DE OPERACOES DE CREDITO EDUCATIVO	Educação
00M3	SUBVENCAO ECONOMICA NAS OPERACOES DE FINANCIAMENTO AO SETOR PRODUTIVO PARA O DESENVOLVIMENTO REGIONAL (LEI N. 12.712, DE 2012)	Encargos Especiais
00M4	REMUNERACAO A AGENTES FINANCEIROS	Encargos Especiais
00M5	AQUISICAO DE TERRENOS E CONSTRUCAO DE UNIDADES HABITACIONAIS DESTINADAS A MORADIA DO PESSOAL DA MARINHA	Defesa Nacional
00M6	CONCESSAO DE BOLSAS PARA PESQUISA ECONOMICA	Administração
00M9	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DE SAO PAULO - IMPLANTACAO DO SISTEMA DE APOIO DE GESTAO DE TRAFEGO DE NAVIOS	Encargos Especiais
00MA	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO RIO DE JANEIRO - IMPLANTACAO DO PROGRAMA DE CONFORMIDADE DO GERENCIAMENTO DE RESIDUOS SOLIDOS E EFLUENTES LIQUIDOS NOS PORTOS MARITIMOS	Encargos Especiais
00MD	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESPIRITO SANTO - PATIO DE ESTOCAGEM PARA CARGA PESADA NO CAIS COMERCIAL NO PORTO DE VITORIA (ES)	Encargos Especiais
00ME	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO RIO GRANDE DO NORTE - IMPLANTACAO DO SISTEMA DE APOIO AO GERENCIAMENTO DA INFRAESTRUTURA PORTUARIA	Encargos Especiais
00MF	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESTADO DE SAO PAULO - IMPLANTACAO DO SISTEMA DE APOIO AO GERENCIAMENTO DA INFRAESTRUTURA PORTUARIA	Encargos Especiais
00MG	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO PARA - IMPLANTACAO DO PROGRAMA DE CONFORMIDADE DO GERENCIAMENTO DE RESIDUOS SOLIDOS E EFLUENTES LIQUIDOS NOS PORTOS MARITIMOS	Encargos Especiais
00MH	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO CEARA - IMPLANTACAO DO PROGRAMA DE CONFORMIDADE DO GERENCIAMENTO DE RESIDUOS SOLIDOS E EFLUENTES LIQUIDOS NOS PORTOS MARITIMOS	Encargos Especiais
00MI	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO RIO GRANDE DO NORTE - IMPLANTACAO DO PROGRAMA DE CONFORMIDADE DO GERENCIAMENTO DE RESIDUOS SOLIDOS E EFLUENTES LIQUIDOS NOS PORTOS MARITIMOS	Encargos Especiais
00MJ	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DA BAHIA - IMPLANTACAO DO PROGRAMA DE CONFORMIDADE DO GERENCIAMENTO DE RESIDUOS SOLIDOS E EFLUENTES LIQUIDOS NOS PORTOS MARITIMOS	Encargos Especiais
00MK	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESPIRITO SANTO - IMPLANTACAO DO PROGRAMA DE CONFORMIDADE DO GERENCIAMENTO DE RESIDUOS SOLIDOS E EFLUENTES LIQUIDOS NOS PORTOS MARITIMOS	Encargos Especiais
00ML	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DE SAO PAULO - IMPLANTACAO DO PROGRAMA DE CONFORMIDADE DO GERENCIAMENTO DE RESIDUOS SOLIDOS E EFLUENTES LIQUIDOS NOS PORTOS MARITIMOS	Encargos Especiais
00MT	CONTRIBUICAO AO CONSELHO MUNDIAL DA AGUA - WWC (MCIDADES)	Encargos Especiais
00MU	PARTICIPACAO DA UNIAO NO CAPITAL DA EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUARIA - APORTE DE CAPITAL NAS SOCIEDADES DE PROPOSITO ESPECIFICO (SPE)	Encargos Especiais
00MZ	RESSARCIMENTO A COMPANHIA DOCAS DO PARA - CDP	Encargos Especiais
00N2	CUMPRIMENTO DE SENTENCA JUDICIAL - INSTITUTO AERUS DE SEGURIDADE SOCIAL - PROCESSO N. 0010295-77.2004.4.01.3400	Encargos Especiais
00NF	CONTRIBUICAO AO FUNDO DE PROMOCAO DAS COOPERATIVAS DO MERCOSUL - FCOOP MERCOSUL (MRE)	Encargos Especiais
00NG	CONTRIBUICAO AO FORUM INTERNACIONAL DE REGULADORES DE AUDITORIA INDEPENDENTE - IFIAR (MF)	Encargos Especiais
00NH	CONTRIBUICAO AO CONSORCIO WORLD WIDE WEB - W3C	Encargos Especiais
00NJ	DOACAO A AGENCIA INTERNACIONAL DE COMPRA DE MEDICAMENTOS PARA PAISES EM DESENVOLVIMENTO - UNITAID	Saúde
00NK	DOACAO A ALIANCA GLOBAL PARA VACINAS E IMUNIZACAO - GAVI	Saúde
00NO	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DA BAHIA - CODEBA - IMPLANTACAO DO SISTEMA DE APOIO AO GERENCIAMENTO DA INFRAESTRUTURA PORTUARIA	Encargos Especiais
00NP	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO PARA - CDP - IMPLANTACAO DO SISTEMA DE APOIO AO GERENCIAMENTO DA INFRAESTRUTURA PORTUARIA	Encargos Especiais
00NQ	CONTRIBUICAO A ASSOCIACAO PARA PROMOCAO DA EXCELENCIA DO SOFTWARE BRASILEIRO - SOFTEX	Encargos Especiais
00NR	MANUTENCAO DAS POLICIAS CIVIL E MILITAR E DO CORPO DE BOMBEIROS DO DISTRITO FEDERAL	Encargos Especiais
00NS	INATIVOS DA POLICIA MILITAR E DO CORPO DE BOMBEIROS DO DISTRITO FEDERAL	Encargos Especiais
00NT	OUTROS BENEFICIOS DAS POLICIAS CIVIL E MILITAR E DO CORPO DE BOMBEIROS DO DISTRITO FEDERAL	Encargos Especiais
00NV	CONTRIBUICAO A ASSOCIACAO BRASILEIRA DE RECURSOS HUMANOS - ABRH-DF	Encargos Especiais
00NY	TRANSFERENCIA DE RECURSOS PARA A CONTA DE DESENVOLVIMENTO ENERGETICO (LEI N. 10.438, DE 26 DE ABRIL DE 2002)	Energia
00O0	CONCESSAO DE BOLSAS DE APOIO A EDUCACAO BASICA	Educação
00O1	RESSARCIMENTO AO FUNDO DE APOIO AO DESENVOLVIMENTO SOCIAL - FAS DE OBRIGACOES DO EX-TERRITORIO FEDERAL DE RORAIMA	Encargos Especiais
00O2	CONTRIBUICAO AO FORUM DAS FEDERACOES - FOF (PR)	Encargos Especiais
00O3	AUXILIO FINANCEIRO AOS MUNICIPIOS	Encargos Especiais
00O5	PARTICIPACAO DA UNIAO NO CAPITAL DA EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUARIA - AQUISICAO DE EQUIPAMENTOS E MODERNIZACAO DAS INSTALACOES AEROPORTUARIAS	Encargos Especiais
00O7	RECOMPOSICAO DO EQUILIBRIO ECONOMICO - FINANCEIRO DO CONTRATO DE CONCESSAO DA BR-040 - RIO DE JANEIRO/RJ - JUIZ DE FORA/MG	Transporte
00OB	AUXILIO A CONTA DE DESENVOLVIMENTO ENERGETICO (LEIS N.S 10.438, DE 26/04/2002, E 12.783, DE 11/01/2013)	Encargos Especiais
00OE	REMUNERACAO DA EMPRESA PRE-SAL PETROLEO S.A. PELA GESTAO DE CONTRATOS	Energia
00OH	CONTRIBUICAO VOLUNTARIA AO FUNDO FIDUCIARIO PARA A SALVAGUARDA DO PATRIMONIO CULTURAL IMATERIAL - FPCI (MINC)	Encargos Especiais
00OI	CONTRIBUICAO VOLUNTARIA PARA A ACADEMIA DE CIENCIAS PARA O MUNDO EM DESENVOLVIMENTO - TWAS (MCTI)	Encargos Especiais
00OK	CONTRIBUICAO A ASSOCIACAO INTERNACIONAL DE SUPERVISORES DE SEGUROS - IAIS	Encargos Especiais
00OL	CONTRIBUICOES E ANUIDADES A ORGANISMOS E ENTIDADES NACIONAIS E INTERNACIONAIS SEM EXIGENCIA DE PROGRAMACAO ESPECIFICA	Encargos Especiais
00OM	INDENIZACAO A SERVIDORES EM EXERCICIO EM LOCALIDADES DE FRONTEIRA (LEI N. 12.855, DE 2013)	Encargos Especiais
00OO	INDENIZACAO FINANCEIRA A EMPRESAS DE TRANSPORTE SEMIURBANO DE PASSAGEIROS ENTRE O DISTRITO FEDERAL E MUNICIPIOS DO SEU ENTORNO (GO)	Transporte
00OP	INTEGRALIZACAO DE COTAS DE CAPITAL EM ORGANISMOS FINANCEIROS INTERNACIONAIS	Encargos Especiais
00OQ	CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE PROGRAMACAO ESPECIFICA	Encargos Especiais
00OR	CONTRIBUICAO A ASSOCIACAO BRASILEIRA DE ENERGIA NUCLEAR - ABEN	Encargos Especiais
00OS	CONTRIBUICAO LATIN AMERICAN SECTION/AMERICAN NUCLEAR SOCIETY - LAS/ANS	Encargos Especiais
00OT	CONTRIBUICAO AO FORUM GLOBAL SOBRE TRANSPARENCIA E INTERCAMBIO DE INFORMACOES PARA FINS TRIBUTARIOS	Encargos Especiais
00OW	APOIO A MANUTENCAO DA EDUCACAO INFANTIL	Educação
00OX	CONTRIBUICOES A PARCERIA PARA GOVERNO ABERTO - OGP	Encargos Especiais
00P1	APOIO A RESIDENCIA EM SAUDE	Educação
00P3	INTEGRALIZACAO DE COTAS DO FUNDO GARANTIDOR DE INFRAESTRUTURA - FGIE	Encargos Especiais
00P4	SUBVENCAO ECONOMICA NAS OPERACOES DE CREDITO RURAL PARA EMPREENDIMENTOS LOCALIZADOS NA AREA DE ABRANGENCIA DA SUPERINTENDENCIA DE DESENVOLVIMENTO DO NORDESTE - SUDENE OU DA SUPERINTENDENCIA DO DESENVOLVIMENTO DA AMAZONIA - SUDAM (LEIS N. 12.844, DE 2013	Encargos Especiais
00P5	RECOMPOSICAO DO EQUILIBRIO ECONOMICO - FINANCEIRO DO CONTRATO DE CONCESSAO DA BR-290/RS - OSORIO - PORTO ALEGRE - ENTRONCAMENTO BR-116/RS (ENTRADA P/ GUAIBA)	Transporte
00P7	TRANSFERENCIA PARA O DESENVOLVIMENTO DO SATELITE GEOESTACIONARIO DE DEFESA E COMUNICACOES - SGDC	Defesa Nacional
00P8	PARTICIPACAO DA UNIAO NO CAPITAL - TELECOMUNICACOES BRASILEIRAS S.A - TELEBRAS - DESENVOLVIMENTO E LANCAMENTO DE SATELITE GEOESTACIONARIO DE DEFESA E COMUNICACAO ESTRATEGICA - SGDC	Encargos Especiais
00P9	PARTICIPACAO DA UNIAO NO CAPITAL - TELECOMUNICACOES BRASILEIRAS S.A - TELEBRAS - INSTALACAO DE CABO SUBMARINO	Encargos Especiais
00PA	PARTICIPACAO DA UNIAO NO CAPITAL - TELECOMUNICACOES BRASILEIRAS S.A - TELEBRAS - IMPLEMENTACAO DA INFRAESTRUTURA PARA A PRESTACAO DE SERVICOS DE COMUNICACAO DE DADOS	Encargos Especiais
00PF	SUBVENCAO ECONOMICA EM OPERACOES DE FINANCIAMENTO DE CAPITAL DE GIRO PARA AGROINDUSTRIAS, INDUSTRIAS DE MAQUINAS E EQUIPAMENTOS AGRICOLAS E COOPERATIVAS AGROPECUARIAS (LEI N. 11.922, DE 2009)	Agricultura
00PH	CONCESSAO DE BOLSAS E AUXILIO FINANCEIRO NA EDUCACAO DE JOVENS E ADULTOS E EM PROGRAMAS DE ELEVACAO DE ESCOLARIDADE INTEGRADOS A QUALIFICACAO PROFISSIONAL E A PARTICIPACAO CIDADA	Educação
00PI	APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)	Educação
00PK	INDENIZACOES A SERVIDORES CIVIS E MILITARES EM SERVICO NO EXTERIOR	Relações Exteriores
00PL	SUBVENCAO ECONOMICA EM OPERACOES CONTRATADAS NO AMBITO DO PROGRAMA FAT GIRO RURAL (LEI N. 11.775, DE 2008)	Agricultura
00PN	PARTICIPACAO DO BRASIL, COMO PAIS NAO MEMBRO, EM ATIVIDADES DE COOPERACAO ECONOMICA JUNTO A ORGANIZACAO PARA COOPERACAO E DESENVOLVIMENTO ECONOMICO - OCDE	Indústria
00PO	AUXILIO-FAMILIAR E INDENIZACAO DE REPRESENTACAO NO EXTERIOR - IREX	Agricultura
00PQ	RESSARCIMENTO A MUNICIPIOS DE DIVIDAS CONTRATUAIS INTERNAS ASSUMIDAS E REFINANCIADAS PELA UNIAO (LEI COMPLEMENTAR N. 148, DE 2014)	
00PS	DESPESAS JUDICIAIS DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PUBLICAS	Encargos Especiais
00PW	CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAMACAO ESPECIFICA	Encargos Especiais
00PX	TRANSFERENCIA DE RECURSOS ARRECADADOS POR TAXA DE OCUPACAO, FORO E LAUDEMIO	Encargos Especiais
00PY	AUXILIO FINANCEIRO AO ESTADO DO RIO DE JANEIRO PARA SEGURANCA PUBLICA PARA REALIZACAO DOS JOGOS OLIMPICOS E PARAOLIMPICOS - RIO 2016 (MEDIDA PROVISORIA N. 734, DE 2016)	
00Q2	PENSIONISTAS DA POLICIA MILITAR E DO CORPO DE BOMBEIROS DO DISTRITO FEDERAL	Encargos Especiais
00Q3	ASSUNCAO, RECONHECIMENTO, NOVACAO DE DIVIDAS DE ENTIDADES PUBLICAS E DO FUNDO DE COMPENSACAO DAS VARIACOES SALARIAIS- FCVS	Encargos Especiais
00Q8	CONTRIBUICAO A ORGANIZACAO INTERNACIONAL DE DESENVOLVIMENTO DE PADROES DE TERMINOLOGIAS EM SAUDE (IHTSDO - INTERNATIONAL HEALTH TERMINOLOGY STANDARDS DEVELOPMENT ORGANISATION)	
00Q9	DIVIDA CONTRATUAL INTERNA DECORRENTE DA EQUALIZACAO DE JUROS NO ALONGAMENTO DE DIVIDAS ORIGINARIAS DO CREDITO RURAL	
00QB	CONTRIBUICAO VOLUNTARIA A AGENCIA INTERNACIONAL DE PESQUISA SOBRE CANCER (IARC - INTERNATIONAL AGENCY FOR RESEARCH ON CANCER)	
00QC	CONCESSAO DE BOLSAS DO PROGRAMA MAIS MEDICOS	
00QD	PENSOES MILITARES DOS EX-TERRITORIOS E DO ANTIGO ESTADO DA GUANABARA	
00QE	REGULARIZACAO DE OBRIGACOES CONTINGENTES RECONHECIDAS PELA UNIAO	
00QF	INTEGRALIZACAO DE COTAS EM FUNDO DE APOIO A ESTRUTURACAO E AO DESENVOLVIMENTO DE PROJETOS DE CONCESSOES E PARCERIAS PUBLICO-PRIVADAS DA UNIAO, DOS ESTADOS, DO DISTRITO FEDERAL E DOS MUNICIPIOS	
00QG	ANISTIADOS POLITICOS - RETROATIVOS CONCEDIDOS POR DECISOES JUDICIAIS	
00QH	CONCESSAO DE BOLSAS NO AMBITO DO PROGRAMA DE ESTIMULO A REESTRUTURACAO E AO FORTALECIMENTO DAS INSTITUICOES DE ENSINO SUPERIOR (PROIES)	
00QI	SEGUROS HABITACIONAIS DE FINANCIAMENTO IMOBILIARIO PARA PESSOAL DA MARINHA	
00QJ	PARTICIPACAO DA UNIAO NO CAPITAL DA EMPRESA GERENCIAL DE PROJETOS NAVAIS - EMGEPRON - RECOMPOSICAO DO NUCLEO NAVAL - CONSTRUCAO DAS CORVETAS DA CLASSE TAMANDARE	
00QK	RESSARCIMENTO DE RECURSOS PAGOS PELAS CONCESSIONARIAS E PERMISSIONARIAS DE SERVICOS PUBLICOS DE DISTRIBUICAO DE ENERGIA ELETRICA (LEI N. 12.111, DE 9 DE DEZEMBRO DE 2009)	
00QL	PAGAMENTO DE INDENIZACAO AS CONCESSIONARIAS DE ENERGIA ELETRICA PELOS INVESTIMENTOS VINCULADOS A BENS REVERSIVEIS AINDA NAO AMORTIZADOS OU NAO DEPRECIADOS (LEI N. 12.783, DE 11 DE JANEIRO DE 2013)	
00QM	ASSUNCAO DE RISCOS DAS OPERACOES DE RECUPERACAO DA LAVOURA CACAUEIRA BAIANA (LEIS N. 9.126, DE 1995 E N. 10.186, DE 2001)	
00QN	INATIVOS E PENSIONISTAS DA POLICIA CIVIL DO DISTRITO FEDERAL	
00QP	CUMPRIMENTO DE OBRIGACOES DECORRENTES DA DISSOLUCAO/LIQUIDACAO DA COMPANHIA DOCAS DO MARANHAO - CODOMAR	
00QR	APOIO FINANCEIRO PELA UNIAO AOS ENTES FEDERATIVOS QUE RECEBEM O FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (MEDIDA PROVISORIA N. 815, DE 29/12/2017)	
00QS	ACOES DECORRENTES DA INTERVENCAO FEDERAL NO ESTADO DO RIO DE JANEIRO NA AREA DE SEGURANCA PUBLICA ( DECRETO N. 9.288, DE 16 DE FEVEREIRO DE 2018)	
00QU	SUBVENCAO ECONOMICA A COMERCIALIZACAO DE OLEO DIESEL NO TERRITORIO NACIONAL (MEDIDA PROVISORIA N. 838, DE 2018)	
00R0	PAGAMENTO DE ACORDO HOMOLOGADO EM JUIZO - SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - ACAO TRABALHISTA 204700-25.1989.5.02.0039	
00R1	"PARTICIPACAO DA UNIAO NO CAPITAL - EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS (ECT) - IMPLANTACAO DE PROJETOS DE INVESTIMENTOS REFERENTES A ETAPA \ADEQUACAO DO MODELO OPERACIONAL DOS CORREIOS\"" PERTENCENTE AO PROGRAMA DEZ EM 1"""	
00R5	CONTRIBUICAO AO FORUM GLOBAL SOBRE TRANSPARENCIA E INTERCAMBIO DE INFORMACOES PARA FINS TRIBUTARIOS	
00RB	PARTICIPACAO DA UNIAO NO CAPITAL DA EMPRESA GERENCIAL DE PROJETOS NAVAIS - EMGEPRON - OBTENCAO DE NAVIO DE APOIO ANTARTICO	
00RH	AUXILIO EMERGENCIAL PECUNIARIO ASSISTENCIAL AOS BENEFICIARIOS DO BOLSA FAMILIA, DO BPC E DA RMV AFETADOS POR CALAMIDADE EM BRUMADINHO-MG	
0100	CONTRIBUICAO AO INSTITUTO INTERNACIONAL DE FINANCAS - IIF	Encargos Especiais
0103	CONTRIBUICAO A ORGANIZACAO INTERNACIONAL DAS COMISSOES DE VALORES - OICV IOSCO (MF)	Encargos Especiais
0104	CONTRIBUICAO A ASSOCIACAO DOS SUPERINTENDENTES DE SEGUROS DA AMERICA LATINA - ASSAL (MF)	Encargos Especiais
0105	CONTRIBUICAO A ASSOCIACAO DE SUPERVISORES DE SEGUROS LUSOFONOS - ASSEL (MF)	Encargos Especiais
0106	CONTRIBUICAO A ASSOCIACAO INTERNACIONAL DE SUPERVISORES DE SEGUROS - IAIS	Encargos Especiais
0113	CONTRIBUICAO VOLUNTARIA AO FUNDO DE COOPERACAO TECNICA DA AGENCIA INTERNACIONAL DE ENERGIA ATOMICA - AIEA FCT (MRE)	Encargos Especiais
0118	FINANCIAMENTOS A MARINHA MERCANTE E A INDUSTRIA DE CONSTRUCAO E REPARACAO NAVAL	Transporte
0120	CONTRIBUICAO A ASSOCIACAO LATINO-AMERICANA DE ARQUIVOS - ALA (PR)	Encargos Especiais
0121	CONTRIBUICAO AO CONSELHO INTERNACIONAL DE ARQUIVOS - CIA (PR)	Encargos Especiais
0122	CONTRIBUICAO A ORGANIZACAO INTERNACIONAL DE POLICIA CRIMINAL - INTERPOL (MJ)	Encargos Especiais
0123	CONTRIBUICAO A ORGANIZACAO MARITIMA INTERNACIONAL - IMO (MD)	Encargos Especiais
0128	CONTRIBUICAO A ORGANIZACAO DAS NACOES UNIDAS - ONU (MRE)	Encargos Especiais
0129	CONTRIBUICAO A ASSOCIACAO INTERNACIONAL DE SEGURIDADE SOCIAL - AISS (MPS)	Encargos Especiais
0130	CONTRIBUICAO A CONFERENCIA INTERAMERICANA DE SEGURIDADE SOCIAL - CISS (MPS)	Encargos Especiais
0131	CONTRIBUICAO A ORGANIZACAO IBEROAMERICANA DE SEGURIDADE SOCIAL - OISS (MPS)	Encargos Especiais
0135	CONTRIBUICAO A ORGANIZACAO HIDROGRAFICA INTERNACIONAL - OHI (MD)	Encargos Especiais
0146	CONTRIBUICAO AO FUNDO DO PATRIMONIO MUNDIAL - FPM (MINC)	Encargos Especiais
0147	CONTRIBUICAO A FEDERACAO INTERNACIONAL DOS ARQUIVOS DE FILMES - FIAF (MINC)	Encargos Especiais
0148	CONTRIBUICAO AO CENTRO INTERNACIONAL DE ESTUDOS PARA CONSERVACAO E RESTAURACAO DE BENS CULTURAIS - ICCROM (MINC)	Encargos Especiais
0151	PROTECAO DE TERRAS INDIGENAS, GESTAO TERRITORIAL E ETNODESEN	
0155	CONTRIBUICAO A FEDERACAO INTERNACIONAL DE BIBLIOTECAS, ASSOCIACOES E INSTITUICOES - IFLA (MINC)	Encargos Especiais
0158	FINANCIAMENTO DE PROGRAMAS DE DESENVOLVIMENTO ECONOMICO A CARGO DO BNDES	Trabalho
0160	CONTRIBUICAO A ASSOCIACAO INTERNACIONAL DE CONGRESSOS E CONVENCOES - ICCA (MTUR)	Encargos Especiais
0164	CONTRIBUICAO A ORGANIZACAO MUNDIAL DE TURISMO - OMT (MTUR)	Encargos Especiais
0169	TRANSFERENCIA DE CONCURSOS DE PROGNOSTICOS (LEI N. 9.615, DE 1998)	Encargos Especiais
0172	CONTRIBUICAO A ASSOCIACAO MUNDIAL DOS SERVICOS PUBLICOS DE EMPREGO - AMSEP	Encargos Especiais
0179	PENSOES MILITARES DAS FORCAS ARMADAS	Previdência Social
0181	APOSENTADORIAS E PENSOES CIVIS DA UNIAO	Previdência Social
0185	CONTRIBUICAO A COMISSAO LATINO-AMERICANA DE AVIACAO CIVIL - CLAC (PR)	Encargos Especiais
0186	CONTRIBUICAO A ORGANIZACAO DE AVIACAO CIVIL INTERNACIONAL - OACI (MTPA)	Encargos Especiais
0188	CONTRIBUICAO AO CENTRO INTERNACIONAL DE ENGENHARIA GENETICA E BIOTECNOLOGIA - CIEGB (MCTI)	Encargos Especiais
0189	CONTRIBUICAO A FACULDADE LATINO-AMERICANA DE CIENCIAS SOCIAIS - FLACSO (MCTI)	Encargos Especiais
0190	CONTRIBUICAO A CONVENCAO-QUADRO DAS NACOES UNIDAS SOBRE MUDANCA DO CLIMA - UNFCCC (MCTI)	Encargos Especiais
0194	CONTRIBUICAO AO INSTITUTO INTERAMERICANO PARA PESQUISA EM MUDANCAS GLOBAIS - IAI (MCTI)	Encargos Especiais
0196	CONTRIBUICAO AO CENTRO LATINO-AMERICANO DE FISICA - CLAF (MCTI)	Encargos Especiais
0208	CONTRIBUICAO AO CONSELHO INTERNACIONAL PARA A CIENCIA - ICSU (MCTI)	Ciência e Tecnologia
0211	CONTRIBUICAO AO COMITE CIENTIFICO DE PESQUISA ANTARTICA - SCAR (MCTI)	Ciência e Tecnologia
0212	CONTRIBUICAO AO COMITE CIENTIFICO DE PESQUISAS OCEANICAS - SCOR (MCTI)	Ciência e Tecnologia
0215	CONTRIBUICAO A ASSOCIACAO BRASILEIRA DE NORMAS TECNICAS - ABNT	Indústria
0217	BOLSA DE QUALIFICACAO PROFISSIONAL PARA TRABALHADOR COM CONTRATO DE TRABALHO SUSPENSO	Trabalho
0218	CONTRIBUICAO A ORGANIZACAO PAN-AMERICANA DE SAUDE - OPAS (MS)	Encargos Especiais
0220	CONTRIBUICAO A UNIAO INTERNACIONAL CONTRA O CANCER - UICC (MS)	Encargos Especiais
0221	CONTRIBUICAO A ORGANIZACAO MUNDIAL DE SAUDE - OMS (MS)	Encargos Especiais
0223	TRANSFERENCIA DE COTAS-PARTES DA COMPENSACAO FINANCEIRA - TRATADO DE ITAIPU (LEI N. 8.001, DE 1990 - ART.1.)	Encargos Especiais
0243	REFINANCIAMENTO DA DIVIDA PUBLICA MOBILIARIA FEDERAL EXTERNA	Encargos Especiais
0252	DIVIDA INTERNA DECORRENTE DO PROGRAMA DE APOIO A REESTRUTURACAO E AO AJUSTE FISCAL DOS ESTADOS E DO INCENTIVO A REDUCAO DA PRESENCA DO SETOR PUBLICO ESTADUAL NA ATIVIDADE FINANCEIRA BANCARIA (LEI N. 9.496, DE 1997 E MP N. 2.192, DE 2001)	Encargos Especiais
0265	INDENIZACOES E RESTITUICOES RELATIVAS AO PROGRAMA DE GARANTIA DA ATIVIDADE AGROPECUARIA - PROAGRO (LEI N. 8.171, DE 1991)	Encargos Especiais
0267	SUBVENCAO ECONOMICA EM OPERACOES NO AMBITO DO PROGRAMA DE FINANCIAMENTO AS EXPORTACOES - PROEX (LEI N. 10.184, DE 2001)	Comércio e Serviços
0272	DIVIDAS INTERNAS DAS ADMINISTRACOES DIRETA E INDIRETA DOS ESTADOS, DO DISTRITO FEDERAL E DOS MUNICIPIOS, ASSUMIDAS PELA UNIAO (LEI N. 8.727, DE 1993)	Encargos Especiais
0281	SUBVENCAO ECONOMICA EM OPERACOES NO AMBITO DO PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR - PRONAF (LEI N. 8.427, DE 1992)	Agricultura
0283	AMORTIZACAO E ENCARGOS DE FINANCIAMENTO DA DIVIDA CONTRATUAL INTERNA	Encargos Especiais
0284	AMORTIZACAO E ENCARGOS DE FINANCIAMENTO DA DIVIDA CONTRATUAL EXTERNA	Encargos Especiais
0286	CONTRIBUICAO A COMISSAO INTERNACIONAL DE IRRIGACAO E DRENAGEM - ICID (MI)	Encargos Especiais
0287	CONTRIBUICAO A COMISSAO INTERNACIONAL PARA A CONSERVACAO DO ATUM E AFINS DO ATLANTICO - ICCAT (MPA)	Encargos Especiais
0291	CONTRIBUICAO AO CENTRO PARA OS SERVICOS DE INFORMACAO E ASSESSORAMENTO SOBRE A COMERCIALIZACAO DOS PRODUTOS PESQUEIROS NA AMERICA LATINA E CARIBE - INFOPESCA (MPA)	Encargos Especiais
0294	SUBVENCAO ECONOMICA NAS OPERACOES DE CUSTEIO AGROPECUARIO (LEI N. 8.427, DE 1992)	Agricultura
